Date,Workout,Uwagi
2021-03-12,"- Rowing: 5k lużno, ok 5min/1k
- Pull-ups: 10x3","Tak pomyślałem przy pull-ups, że może warto zacząć je robić wolniej, aby większą siłę wykorzystywać i mniej dynamiki."
2021-03-13,"KB
- PR: 16x4x5 + 16x1x3
- SW: (32x10/min)x10
- SN: 20x10 L/R x 6
DL
- 55x5, 75x5 paused
- 75x3x10","Robilem martwe, zeby pocwiczyc ruch. czulem sie dobrze po ostatnim tygodniu, gdzie robilem 125x5x5 oraz 120x5x4 i oczywiscie zerwalem reke przy SN. SW troche mnie zmeczyly, ale stopniowo mysle moge zwiekszac obciazenie."
2021-03-15,"- rowing: (3k+2min)x 2, tempo ok 5m/1k, czyli luzno dosc
- FSQ: 30x1x3, 30x1x5, 40x5x5","Po sobotnim treninug z kettlami mam bardzo powyciagane sciegna nog i obolale nogi i miesnie grzebitu od SQ i SN. Pierwsza seria FSQ ostroznie, potem juz troche lepiej."
2021-03-16,"DL:
- 70x5, 80x5, 90x5, 100x5 /paused, 110x1x3, 120x1x3, 130x5x5
FSQ:
- 20x3, 30x5, 40x3x3
Pull-ups:
- 10x3","DL poszły dość łatwo. W 4 serii 4 i 5 powtorzenie i cała 5 seria - Hook Grip. Myślę. że prędkość sztangi w seriach była ok, tzn. że miałem dość siły. W następnym tygodniu idę do góry i pewnie od samego początku HG (hook grip) lub może od 2 serii. zobaczymy."
2021-03-17,"Rowing:
- 3k x 3/3min. Dość luźno ok 20 - 19 SPM. czasy ok 13.40 min.
PR:  - 14kg x5x5
FSQ:  - 30x3x4. 40x3x5. 40x1x3
Pullups:  10x2","Wiosłowało mi się dość ok. Nie spieszyłem się za bardzo, ale posiłek, który jadłem 4godz wczesniej podchodził mi pod gardło. Jakies bóle w prawym kolanie, w rzepce się odzywały.
Przy squatach musiałem uważać, gdyż od paru dni coś się dzieje z moją prawą nogą, w miejscu, gdzie noga łączy się z biodrem. mam odczucia, jakby kość nogi uderzała w biodro i mam mniejszy zakres ruchu i zaczynam jakby utykać. Mam nadzieję, że to samo się uspokoi lub będę musiał coś z tym zrobić. Po wczorajszych DL trochę czuję mięśnie grzbietu, ale nic poważnego."
2021-03-18,"DL:
- 70x5, 80x5, 90x5, 100x5 paused
- 110x1x5, 120x3, 110x4x5, 100x5
KB, PR: 14x6x5
- FSQ: 30x5, 40x5x5",Te 120 bylo troche ciezko i nie chcialem cisnac wiecej po wtorkowych ciagach sprzed 2 dni. Pressy kettlami wchodzily latwo. we FSQ siadalem gleboko.
2021-03-19,"Rowing:
- 1x5k, SPM ok 20, 22:30 min
Pull-ups:
- 10x5
FSQ: 30x3x5, 40x4x5
Back extention: 10x3","Dość dobrze mi się wiosłowało. Mam wątpliwości co do formy/techniki swoich podciągnięć, chociaż trochę siły było. Robiłem trochę FSQ na lekko, żeby dalej ćwiczyć ruch. Nie wiem, czy moja technika jest ok w tym ruchu."
2021-03-20,"KB:
- CL/PR/SQ L+P 12kg, ladder 1-5, 5-1
- PR L/P 16x6x5
- SN L/P 20x6x10
DL:
- 60x5x10","chciałem więcej SN robić, ale znowu zerwałem skórę na ręce i w sumie musiałem więcej się zmagać z ręką niż z brakiem siły. Fajnie mi się robiło DL. Mimo małego ciężaru, to ostatnie powtórzenia w serii czułem trochę w plecach tzn w mięśniach grzbietu."
2021-03-22,"Rowing:
- 5k dość luźno ok 21 SPM, czas ok 22:30 chyba
FSQ: 30x5, 40x5x5, 50x3
KB: PR 14x5x5
Pull-ups: 10x3","Byłem trochę zmęczony dziś, po całym dniu w pracy na nogach. Noga i biodro jakby lepiej, ale dalej nie jest wszystko ok i coś tam czułem przy FSQ. Usiadłem z 50 kg i było dość lekko, ale w sumie to lekki ciężar."
2021-03-23,"KB, PR - 14x5x5
DL:
- 70x5, 80x5, 90x5, 100x5 paused
- 110x3, 120x3, 130x3
- 135x5x5
- 120x5
Pull-ups 10x3","w DL pierwsze dwie serie cieżko i słabo technicznie. Nie wiedziałem, jaki mam chwyt mieć. Probowałem zamka i przechwytu i do tego ciało i układ nerwowy adaptowały sie do ciezaru. Ponieważ mało robiłem ruchow z przechwytem, ten uchwyt czułem trochę dziwnie. Pojedyncze ciagi w 1 i 2 serii słabo technicznie i ciagnalem z grzbietu. Zastanawiałem się nawet, czy nie skonczyc po 2 seriach. ale odpoczalem i 3 seria w przechwycie poszla zaskakujaco lekko. kolejne w sumie tez ok. moze dopiero wtedy cialo sie przystosowalo. raczej sprobuje 140kg next week, ale ewidentnie sie zblizam do swojego limitu obecnego."
